file_path,valence,arousal,mood
/Volumes/T7 Shield/Emotify/MTG_Full/00/1002000.low.mp3,4.826256,4.768503,Sadness
/Volumes/T7 Shield/Emotify/MTG_Full/00/1007900.low.mp3,5.453859,5.741893,Joy
/Volumes/T7 Shield/Emotify/MTG_Full/00/1009600.low.mp3,3.780894,3.842587,Sadness
/Volumes/T7 Shield/Emotify/MTG_Full/00/1009700.low.mp3,5.587208,6.007606,Joy
/Volumes/T7 Shield/Emotify/MTG_Full/00/101000.low.mp3,5.44031,5.719132,Joy
/Volumes/T7 Shield/Emotify/MTG_Full/00/1012000.low.mp3,3.830026,3.896163,Sadness
/Volumes/T7 Shield/Emotify/MTG_Full/00/101900.low.mp3,5.106743,5.520041,Joy
/Volumes/T7 Shield/Emotify/MTG_Full/00/1022300.low.mp3,3.279141,3.835479,Sadness
/Volumes/T7 Shield/Emotify/MTG_Full/00/1027900.low.mp3,5.576934,5.894743,Joy
/Volumes/T7 Shield/Emotify/MTG_Full/00/1028800.low.mp3,4.814144,4.614544,Sadness
/Volumes/T7 Shield/Emotify/MTG_Full/00/1028900.low.mp3,3.910728,4.069387,Sadness
/Volumes/T7 Shield/Emotify/MTG_Full/00/1030300.low.mp3,5.494212,5.656938,Joy
/Volumes/T7 Shield/Emotify/MTG_Full/00/1030900.low.mp3,3.976111,4.026584,Sadness
/Volumes/T7 Shield/Emotify/MTG_Full/00/1032000.low.mp3,5.202375,5.120554,Joy
/Volumes/T7 Shield/Emotify/MTG_Full/00/103300.low.mp3,4.169482,4.070238,Sadness
/Volumes/T7 Shield/Emotify/MTG_Full/00/1036200.low.mp3,4.487141,4.386107,Sadness
/Volumes/T7 Shield/Emotify/MTG_Full/00/1037900.low.mp3,4.279112,4.097035,Sadness
/Volumes/T7 Shield/Emotify/MTG_Full/00/1041500.low.mp3,3.85339,4.32023,Sadness
/Volumes/T7 Shield/Emotify/MTG_Full/00/1042000.low.mp3,3.602185,3.573941,Sadness
/Volumes/T7 Shield/Emotify/MTG_Full/00/1044300.low.mp3,3.752855,3.9802,Sadness
/Volumes/T7 Shield/Emotify/MTG_Full/00/1045700.low.mp3,4.056913,3.950361,Sadness
/Volumes/T7 Shield/Emotify/MTG_Full/00/1045800.low.mp3,5.359286,5.533831,Joy
/Volumes/T7 Shield/Emotify/MTG_Full/00/1046600.low.mp3,5.780676,5.770848,Joy
/Volumes/T7 Shield/Emotify/MTG_Full/00/1048300.low.mp3,3.970212,3.991663,Sadness
/Volumes/T7 Shield/Emotify/MTG_Full/00/1051200.low.mp3,4.467299,4.390451,Sadness
/Volumes/T7 Shield/Emotify/MTG_Full/00/1051500.low.mp3,5.391748,5.811097,Joy
/Volumes/T7 Shield/Emotify/MTG_Full/00/1052800.low.mp3,4.371013,4.378721,Sadness
/Volumes/T7 Shield/Emotify/MTG_Full/00/1053400.low.mp3,4.58765,4.600946,Sadness
/Volumes/T7 Shield/Emotify/MTG_Full/00/1053500.low.mp3,5.777468,5.89688,Joy
/Volumes/T7 Shield/Emotify/MTG_Full/00/1054100.low.mp3,5.434322,5.472432,Joy
/Volumes/T7 Shield/Emotify/MTG_Full/00/1060000.low.mp3,4.384877,4.856733,Sadness
/Volumes/T7 Shield/Emotify/MTG_Full/00/1062500.low.mp3,3.790478,3.915161,Sadness
/Volumes/T7 Shield/Emotify/MTG_Full/00/1062600.low.mp3,4.456978,4.286161,Sadness
/Volumes/T7 Shield/Emotify/MTG_Full/00/1063200.low.mp3,4.483916,4.525956,Sadness
/Volumes/T7 Shield/Emotify/MTG_Full/00/1066200.low.mp3,4.25308,4.201004,Sadness
/Volumes/T7 Shield/Emotify/MTG_Full/00/1066500.low.mp3,5.228102,5.412172,Joy
/Volumes/T7 Shield/Emotify/MTG_Full/00/1069400.low.mp3,4.595566,4.639118,Sadness
/Volumes/T7 Shield/Emotify/MTG_Full/00/1069500.low.mp3,4.719034,4.842979,Sadness
/Volumes/T7 Shield/Emotify/MTG_Full/00/1070600.low.mp3,4.570646,4.332511,Sadness
/Volumes/T7 Shield/Emotify/MTG_Full/00/1072900.low.mp3,5.748031,5.893131,Joy
/Volumes/T7 Shield/Emotify/MTG_Full/00/1073700.low.mp3,4.155705,4.163019,Sadness
/Volumes/T7 Shield/Emotify/MTG_Full/00/1075200.low.mp3,4.811585,4.57378,Sadness
/Volumes/T7 Shield/Emotify/MTG_Full/00/1075700.low.mp3,4.827676,5.167252,Anger
/Volumes/T7 Shield/Emotify/MTG_Full/00/1076600.low.mp3,4.447314,4.221703,Sadness
/Volumes/T7 Shield/Emotify/MTG_Full/00/1079300.low.mp3,5.346149,5.904034,Joy
/Volumes/T7 Shield/Emotify/MTG_Full/00/1081000.low.mp3,3.58131,3.609055,Sadness
/Volumes/T7 Shield/Emotify/MTG_Full/00/1082100.low.mp3,3.826491,3.865988,Sadness
/Volumes/T7 Shield/Emotify/MTG_Full/00/1083100.low.mp3,3.933345,3.710027,Sadness
/Volumes/T7 Shield/Emotify/MTG_Full/00/1085600.low.mp3,4.49536,4.796136,Sadness
/Volumes/T7 Shield/Emotify/MTG_Full/00/1085700.low.mp3,4.121101,4.113349,Sadness
/Volumes/T7 Shield/Emotify/MTG_Full/00/1086300.low.mp3,4.280478,4.42803,Sadness
/Volumes/T7 Shield/Emotify/MTG_Full/00/1086700.low.mp3,5.337514,5.721831,Joy
/Volumes/T7 Shield/Emotify/MTG_Full/00/1087100.low.mp3,5.546939,5.601946,Joy
/Volumes/T7 Shield/Emotify/MTG_Full/00/1088000.low.mp3,5.148059,5.674771,Joy
/Volumes/T7 Shield/Emotify/MTG_Full/00/1089300.low.mp3,4.689662,4.824982,Sadness
/Volumes/T7 Shield/Emotify/MTG_Full/00/1090200.low.mp3,4.141922,3.929286,Sadness
/Volumes/T7 Shield/Emotify/MTG_Full/00/1090700.low.mp3,4.329767,4.206547,Sadness
/Volumes/T7 Shield/Emotify/MTG_Full/00/1095600.low.mp3,4.476358,4.457098,Sadness
/Volumes/T7 Shield/Emotify/MTG_Full/00/1096800.low.mp3,4.709046,4.849605,Sadness
/Volumes/T7 Shield/Emotify/MTG_Full/00/1100.low.mp3,5.53345,5.647221,Joy
/Volumes/T7 Shield/Emotify/MTG_Full/00/1100200.low.mp3,3.918862,4.018453,Sadness
/Volumes/T7 Shield/Emotify/MTG_Full/00/1102300.low.mp3,5.360904,5.249254,Joy
/Volumes/T7 Shield/Emotify/MTG_Full/00/1103000.low.mp3,5.544501,5.50533,Joy
