file_path,valence,arousal,mood
/Volumes/T7 Shield/Emotify/MTG_Full/00/1002000.low.mp3,5.406875,4.347694,Pleasure
/Volumes/T7 Shield/Emotify/MTG_Full/00/1007900.low.mp3,6.390077,6.267657,Joy
/Volumes/T7 Shield/Emotify/MTG_Full/00/1009600.low.mp3,4.367068,2.710302,Sadness
/Volumes/T7 Shield/Emotify/MTG_Full/00/1009700.low.mp3,5.691661,5.932864,Joy
/Volumes/T7 Shield/Emotify/MTG_Full/00/101000.low.mp3,6.286331,8.135913,Joy
/Volumes/T7 Shield/Emotify/MTG_Full/00/1012000.low.mp3,4.283501,4.636166,Sadness
/Volumes/T7 Shield/Emotify/MTG_Full/00/1012600.low.mp3,5.400548,5.921198,Joy
/Volumes/T7 Shield/Emotify/MTG_Full/00/1014400.low.mp3,4.227233,4.546285,Sadness
/Volumes/T7 Shield/Emotify/MTG_Full/00/101900.low.mp3,5.909971,5.962677,Joy
/Volumes/T7 Shield/Emotify/MTG_Full/00/1022300.low.mp3,4.224046,2.413279,Sadness
/Volumes/T7 Shield/Emotify/MTG_Full/00/1027900.low.mp3,6.002845,6.20668,Joy
/Volumes/T7 Shield/Emotify/MTG_Full/00/1028800.low.mp3,4.499748,3.377784,Sadness
/Volumes/T7 Shield/Emotify/MTG_Full/00/1028900.low.mp3,3.701929,3.133777,Sadness
/Volumes/T7 Shield/Emotify/MTG_Full/00/1030300.low.mp3,5.884001,6.229954,Joy
/Volumes/T7 Shield/Emotify/MTG_Full/00/1030900.low.mp3,3.804838,2.402752,Sadness
/Volumes/T7 Shield/Emotify/MTG_Full/00/1032000.low.mp3,6.335113,6.244638,Joy
/Volumes/T7 Shield/Emotify/MTG_Full/00/103300.low.mp3,4.495811,3.354706,Sadness
/Volumes/T7 Shield/Emotify/MTG_Full/00/1036200.low.mp3,3.657172,3.635293,Sadness
/Volumes/T7 Shield/Emotify/MTG_Full/00/1037900.low.mp3,3.822913,2.820201,Sadness
