file_path,mood_Joy,mood_Anger,mood_Pleasure,mood_Sadness
/Volumes/T7 Shield/Emotify/MTG_Full_MERT/00/1002000.low.npy,0,0,1,0
/Volumes/T7 Shield/Emotify/MTG_Full_MERT/00/1007900.low.npy,1,0,0,0
/Volumes/T7 Shield/Emotify/MTG_Full_MERT/00/1009600.low.npy,0,0,0,1
/Volumes/T7 Shield/Emotify/MTG_Full_MERT/00/1009700.low.npy,1,0,0,0
/Volumes/T7 Shield/Emotify/MTG_Full_MERT/00/101000.low.npy,1,0,0,0
/Volumes/T7 Shield/Emotify/MTG_Full_MERT/00/1012000.low.npy,0,0,0,1
/Volumes/T7 Shield/Emotify/MTG_Full_MERT/00/1012600.low.npy,1,0,0,0
/Volumes/T7 Shield/Emotify/MTG_Full_MERT/00/1014400.low.npy,0,0,0,1
/Volumes/T7 Shield/Emotify/MTG_Full_MERT/00/101900.low.npy,1,0,0,0
/Volumes/T7 Shield/Emotify/MTG_Full_MERT/00/1022300.low.npy,0,0,0,1
/Volumes/T7 Shield/Emotify/MTG_Full_MERT/00/1027900.low.npy,1,0,0,0
/Volumes/T7 Shield/Emotify/MTG_Full_MERT/00/1028800.low.npy,0,0,0,1
/Volumes/T7 Shield/Emotify/MTG_Full_MERT/00/1028900.low.npy,0,0,0,1
/Volumes/T7 Shield/Emotify/MTG_Full_MERT/00/1030300.low.npy,1,0,0,0
/Volumes/T7 Shield/Emotify/MTG_Full_MERT/00/1030900.low.npy,0,0,0,1
/Volumes/T7 Shield/Emotify/MTG_Full_MERT/00/1032000.low.npy,1,0,0,0
/Volumes/T7 Shield/Emotify/MTG_Full_MERT/00/103300.low.npy,0,0,0,1
/Volumes/T7 Shield/Emotify/MTG_Full_MERT/00/1036200.low.npy,0,0,0,1
/Volumes/T7 Shield/Emotify/MTG_Full_MERT/00/1037900.low.npy,0,0,0,1
/Volumes/T7 Shield/Emotify/MTG_Full_MERT/00/1041500.low.npy,0,0,0,1
/Volumes/T7 Shield/Emotify/MTG_Full_MERT/00/1042000.low.npy,0,0,0,1
/Volumes/T7 Shield/Emotify/MTG_Full_MERT/00/1044300.low.npy,0,0,0,1
/Volumes/T7 Shield/Emotify/MTG_Full_MERT/00/1045700.low.npy,0,0,0,1
/Volumes/T7 Shield/Emotify/MTG_Full_MERT/00/1045800.low.npy,1,0,0,0
/Volumes/T7 Shield/Emotify/MTG_Full_MERT/00/1046600.low.npy,1,0,0,0
/Volumes/T7 Shield/Emotify/MTG_Full_MERT/00/1048300.low.npy,0,0,0,1
/Volumes/T7 Shield/Emotify/MTG_Full_MERT/00/1051500.low.npy,1,0,0,0
/Volumes/T7 Shield/Emotify/MTG_Full_MERT/00/1052800.low.npy,0,0,1,0
/Volumes/T7 Shield/Emotify/MTG_Full_MERT/00/1053400.low.npy,1,0,0,0
/Volumes/T7 Shield/Emotify/MTG_Full_MERT/00/1053500.low.npy,1,0,0,0
/Volumes/T7 Shield/Emotify/MTG_Full_MERT/00/1056400.low.npy,0,0,1,0
/Volumes/T7 Shield/Emotify/MTG_Full_MERT/00/1060000.low.npy,0,0,1,0
/Volumes/T7 Shield/Emotify/MTG_Full_MERT/00/1060600.low.npy,0,0,1,0
/Volumes/T7 Shield/Emotify/MTG_Full_MERT/00/1062500.low.npy,0,0,0,1
/Volumes/T7 Shield/Emotify/MTG_Full_MERT/00/1062600.low.npy,0,0,0,1
